-1000,850
-1000,996
-1000,284
-1000,-579
-1000,76
-1000,-984
-999,-295
-999,-951
-999,940
-999,-531
-999,-477
-999,-223
-999,-316
-998,-1
-998,-179
-998,-535
-998,676
-998,-708
-998,863
-997,-804
-997,53
-997,-711
-997,741
-997,-530
-997,582
-997,850
-996,998
-996,-106
-996,-922
-995,823
-995,-547
-995,-841
-995,467
-995,509
-995,-916
-994,27
-994,172
-993,34
-993,439
-993,588
-993,-417
-993,212
-993,753
-993,-202
-993,-760
-992,-837
-992,664
-992,-139
-991,-378
-991,686
-991,976
-991,-495
-990,-582
-990,472
-990,-585
-990,914
-990,-97
-990,899
-990,-464
-990,349
-990,429
-990,750
-989,244
-989,216
-989,-623
-989,58
-988,703
-988,995
-988,-42
-988,375
-987,-411
-987,996
-987,-812
-987,-290
-986,-818
-986,-517
-986,769
-986,-428
-986,7
-985,327
-985,197
-985,-756
-984,-35
-984,859
-984,-220
-984,-87
-984,332
-984,-659
-984,414
-984,-479
-983,197
-983,588
-983,354
-983,958
-983,-551
-983,-696
-983,187
-982,163
-982,199
-982,45
-982,956
-982,-619
-982,139
-981,840
-981,8
-980,273
-980,-971
-980,-790
-980,349
-980,-451
-979,-638
-979,-302
-979,495
-979,845
-978,-932
-978,786
-978,521
-978,1
-978,891
-978,-946
-977,-124
-977,-775
-977,-676
-977,876
-976,279
-976,655
-976,-948
-976,-98
-975,-162
-974,-536
-974,281
-974,301
-974,-516
-974,-881
-974,-177
-974,-488
-973,909
-973,848
-973,-899
-973,-802
-973,379
-973,-562
-973,-707
-972,117
-972,122
-972,694
-972,-768
-971,-962
-971,-734
-971,-516
-971,327
-971,-897
-971,-951
-970,-73
-970,91
-970,535
-970,784
-970,-971
-969,142
-969,4
-969,305
-969,308
-969,560
-968,-9
-968,-318
-968,-384
-968,491
-968,-662
-968,373
-967,-701
-967,9
-967,188
-967,853
-967,-951
-966,265
-966,-97
-966,-948
-966,-72
-966,-168
-966,-20
-966,386
-966,551
-966,193
-965,-112
-965,843
-965,132
-965,-978
-964,985
-964,-894
-964,-674
-964,669
-964,-474
-963,-877
-963,748
-963,188
-963,-474
-962,465
-962,-428
-962,554
-962,-678
-962,699
-961,280
-961,-145
-961,-202
-961,293
-961,-847
-961,-90
-961,316
-960,406
-960,658
-960,998
-960,-579
-959,342
-959,-993
-959,198
-958,92
-958,78
-958,-285
-958,-703
-958,321
-958,-969
-958,-133
-957,638
-957,-560
-957,562
-957,67
-957,543
-957,-777
-956,-757
-956,340
-956,399
-956,-263
-955,-257
-955,-165
-955,-672
-955,981
-955,-857
-954,-774
-954,-503
-954,-454
-954,-24
-953,507
-953,-286
-953,-160
-952,-86
-952,-726
-951,-399
-951,349
-951,980
-951,415
-951,-109
-950,-922
-950,583
-950,820
-950,45
-950,-589
-950,-8
-950,-593
-949,-532
-949,509
-949,-395
-948,-669
-948,659
-948,-747
-948,-160
-947,78
-947,-435
-947,-328
-947,140
-946,-139
-946,-983
-945,-602
-943,761
-943,464
-943,942
-943,-128
-942,54
-942,-898
-942,321
-942,562
-942,-420
-942,-608
-942,878
-941,-811
-941,-76
-941,92
-941,-186
-941,-241
-941,383
-941,118
-941,-667
-941,-223
-941,-757
-941,137
-941,-650
-941,91
-940,969
-940,-180
-940,50
-940,-700
-940,997
-940,269
-940,-216
-939,696
-939,-542
-939,-320
-939,42
-938,19
-938,76
-938,437
-938,765
-937,629
-937,965
-937,-603
-937,33
-937,255
-937,518
-936,-216
-936,510
-936,-753
-936,895
-936,-494
-935,-857
-935,43
-935,-345
-935,-610
-934,-552
-934,-580
-934,-729
-934,153
-934,-333
-934,563
-934,513
-934,883
-933,336
-932,834
-932,734
-932,569
-932,-273
-932,408
-931,954
-931,-37
-931,226
-931,-857
-930,394
-930,-196
-930,-266
-930,495
-930,139
-930,113
-928,-684
-928,413
-928,694
-928,874
-928,-967
-927,539
-927,957
-927,682
-927,-4
-927,548
-927,557
-926,432
-926,-791
-926,-231
-926,488
-925,834
-925,394
-925,-846
-925,537
-924,639
-924,50
-924,440
-924,429
-924,868
-924,-590
-923,-86
-923,-543
-923,-520
-923,-696
-923,878
-922,-491
-922,-89
-922,-693
-922,892
-921,-533
-921,685
-921,617
-921,950
-920,-186
-920,-41
-920,-939
-920,929
-920,643
-920,405
-919,-898
-919,982
-918,901
-918,55
-918,-297
-918,1000
-918,903
-918,298
-918,317
-917,-591
-917,-853
-917,-605
-917,929
-917,409
-916,-864
-916,656
-916,119
-915,-283
-915,-871
-915,665
-915,953
-915,165
-915,826
-915,-795
-915,882
-914,799
-914,535
-914,631
-914,-106
-914,-908
-913,-929
-913,441
-913,-136
-913,-529
-912,556
-912,80
-912,302
-912,-111
-912,244
-912,647
-912,176
-911,-918
-911,-626
-911,-825
-911,-278
-910,-599
-910,228
-910,947
-910,909
-910,-504
-910,430
-910,-369
-909,397
-908,-833
-908,210
-908,753
-908,-185
-908,196
-908,522
-907,-351
-907,-188
-907,574
-907,623
-906,371
-906,-743
-906,483
-906,-488
-905,912
-905,610
-905,409
-904,-342
-903,795
-903,34
-903,555
-903,-256
-903,578
-902,404
-902,-635
-902,-997
-902,180
-902,97
-902,28
-901,-396
-901,282
-901,-153
-901,-16
-901,913
-900,-73
-900,993
-900,689
-900,-165
-899,784
-899,799
-899,-131
-899,-931
-898,-306
-898,540
-898,995
-898,870
-897,-869
-897,590
-897,312
-897,851
-897,90
-897,644
-897,454
-896,-887
-896,144
-896,648
-895,127
-895,806
-895,-497
-895,-208
